1890
M;A láthatatlan kéz;The Moving Finger;1942;11,40
P;Mrs. McGinty halott;Mrs. McGinty's Dead;1952;14,28
-;És eljő a halál...;Death Comes as the End;1944;14,28
M;Egy marék rozs;A Pocket Full of Rye;1953;17,14
P;Zátonyok közt;Taken at the Flood;1948;11,40
P;Nyaraló gyilkosok;Evil Under the Sun;1941;11,40
P;A fogorvos széke;One, Two, Buckle My Shoe;1940;11,40
P;Hétvégi gyilkosság;The Hollow;1946;14,28
-;A titkos ellenfél;The Secret Adversary;1922;17,14
M;Paddington 16.50;4.50 from Paddington;1957;17,14
P;Temetni veszélyes;After the Funeral;1953;17,14
-;Az élet súlya;The Burden;1956;14,28
P;Lord Edgware meghal;Lord Edgware Dies;1933;11,40
-;Gyöngyöző cián;Sparkling Cyanide;1945;17,14
-;Miért nem szóltak Evansnak?;Why Didn't They Ask Evans?;1934;17,14
-;Úti célja ismeretlen;Destination Unknown;1954;17,14
-;Királyok és kalandorok;The Secret of Chimneys;1925;14,28
P;Ház a sziklán;Peril at End House;1932;14,28
P;Öt kismalac;Five Little Pigs;1943;11,40
P;Poirot karácsonya;Hercule Poirot's Christmas;1938;17,14
-;Tíz kicsi néger;Ten Little Niggers;1939;14,28
-;Bagdadba jöttek;They Came to Baghdad;1951;17,14
M;Nem csalás, nem ámítás;They Do It with Mirrors;1952;11,40
P;Gyilkosság az Orient expresszen;Murder on the Orient Express;1934;11,40
M;A kristálytükör meghasadt;The Mirror Crack’d from Side to Side;1962;11,40
-;A rózsa és a tiszafa;The Rose and the Yew Tree;1948;14,28
P;Gyilkosság Mezopotámiában;Murder in Mesopotamia;1936;17,14
-;Az ijedt szemű lány;Murder on the Links;1923;11,40
P;A titokzatos Kék Vonat;The Mystery of the Blue Train;1928;11,40
-;A barna ruhás férfi;The Man in the Brown Suit;1924;14,28
P;Macska a galambok között;Cat Among the Pigeons;1959;11,40
-;Végtelen éjszaka;Endless Night;1967;14,28
P;Függöny: Poirot utolsó esete;Curtain: Poirot's Last Case;1975;17,14
-;Az óriás kenyere;Giant's Bread;1930;11,40
-;A frankfurti utas;Passenger to Frankfurt;1970;17,14
M;Holttest a könyvtárszobában;The Body in the Library;1942;14,28
P;Az órák;The Clocks;1963;17,14
P;A kutya se látta;Dumb Witness;1937;11,40
-;A sors kapuja;Postern of Fate;1973;17,14
-;A gyűlölet őrültje;Murder Is Easy;1939;14,28
M;Szunnyadó gyilkosság;Sleeping Murder;1976;17,14
P;Tragédia három felvonásban;Three Acts Tragedy;1935;17,14
P;Halál a felhők fölött;Death in the Clouds;1935;11,40
M;Rejtély az Antillákon;A Caribbean Mystery;1964;11,40
M;Nemezis;Nemesis;1971;14,28
P;Gloriett a hullának;Dead Man's Folly;1956;14,28
P;Nyílt kártyákkal;Cards on the Table;1936;11,40
-;A Hét Számlap rejtélye;The Seven Dials Mystery;1929;17,14
P;Az Ackroyd-gyilkosság;The Murder of Roger Ackroyd;1926;11,40
P;Ellopott gyilkosság;Hallowe'en Party;1969;14,28
P;A titokzatos Négyes;The Big Four;1927;11,40
M;Gyilkosság meghirdetve;A Murder is Announced;1950;17,14
P;A titokzatos stylesi eset;The Mysterious Affair at Styles;1920;14,28
P;Találkozás a halállal;Appointment with Death;1938;11,40
P;Az elefántok nem felejtenek;Elephants Can Remember;1972;17,14
M;Gyilkosság a paplakban;The Murder at the Vicarage;1930;17,14
-;Távol telt tőled tavaszom;Absent in the Spring;1944;11,40
-;Bűbájos gyilkosok;The Pale Horse;1961;17,14
-;Befejezetlen portré;Unfinished Portrait;1934;14,28
P;Cipruskoporsó;Sad Cypress;1940;11,40
-;A Sittaford-rejtély;The Sittaford Mystery;1931;17,14
-;Ferde ház;Crooked House;1949;11,40
P;Harmadik lány;Third Girl;1966;11,40
P;Az ABC-gyilkosságok;The ABC Murders;1936;17,14
P;Halál a Níluson;Death on the Nile;1938;14,28
-;Balhüvelykem bizsereg...;By the Pricking of My Thumbs;1968;11,40
P;Gyilkosság a diákszállóban;Hickory, Dickory, Dock;1955;14,28
-;Az alibi;Ordeal by Innocence;1958;14,28
-;A lányom mindig a lányom;A Daughter's a Daughter;1952;11,40
-;N vagy M;N or M?;1941;11,40
-;Éjféltájt;Towards Zero;1944;17,14
M;A Bertram Szálló;At Bertram's Hotel;1965;17,14
