Név;Terület (km?);Ország(ok)
Kaszpi-tenger;371000;Azerbajdzsán, Irán, Kazahsztán, Oroszország, Türkmenisztán
Felső-tó;82411;USA, Kanada
Viktória-tó;69482;Kenya, Tanzánia, Uganda
Huron-tó;59594;Kanada, USA
Michigan-tó;58014;USA
Tanganyika-tó;32892;Burundi, Kongói Demokratikus Köztársaság, Tanzánia, Zambia
Bajkál-tó;31500;Oroszország
Nagy-Medve-tó;31079;Kanada
Nyasza-tó (Malawi-tó);30043;Malawi, Mozambik, Tanzánia
Nagy-Rabszolga-tó;28929;Kanada
Aral-tó;28687;Kazahsztán, Üzbegisztán
Erie-tó;25744;USA, Kanada
Winnipeg-tó;23541;Kanada
Ontario-tó;19528;Kanada, USA
Balkas-tó;18300;Kazahsztán
Ladoga-tó;17700;Oroszország
Csád-tó;16000-24750;Csád, Nigéria, Niger, Kamerun
Eyre-tó;10000-15000;Ausztrália
Onyega-tó;9720;Oroszország
Titicaca-tó;8135;Peru, Bolívia
Nicaragua-tó;8001;Nicaragua
Atabaszk-tó;7920;Kanada
Turkana-tó (Rudolf-tó);6400-8000;Kenya, Etiópia
Rénszarvas-tó;6330;Kanada
Iszik-köl;6280;Kirgizisztán
Urmia-tó;6001;Irán
Nettilling-tó;5760;Kanada
Vänern;5585;Svédország
Winnipegosis-tó;5402;Kanada
Albert-tó;5299;Uganda, Kongói Demokratikus Köztársaság
Dongting-tó;5000;Kína
Bangweulu-tó;5000;Zambia
Nipigon-tó;4843;Kanada
Manitoba-tó;4706;Kanada
Gairdner-tó;4700-7700;Ausztrália
Tajmir-tó;4560;Oroszország
Kuku-Nór;4200-5700;Kína
Mweru-tó;4196;Zambia, Kongói Demokratikus Köztársaság
Hanka-tó;4190;Kína, Oroszország
Dubawnt-tó;4144;Kanada
Erdők tava;3846;Kanada, USA
Van-tó;3763;Törökország
Csúd-tó, a Pszkovi-tóval;3550;Észtország, Oroszország
Uvsz-tó;3350;Mongólia
Tana-tó;3100;Etiópia
Torrens-tó;3000-5700;Ausztrália
Rukwa-tó;3000;Tanzánia
Melville-tó;2990;Kanada
Zajszan-tó;2800;Kazahsztán
Boyangi-tó;2771;Kína
Déli-Indián-tó;2745;Kanada
Lop-nór;2700;Kína
Kivu-tó;2650;Kongói Demokratikus Köztársaság, Ruanda
Ala-köl;2650;Kazahsztán
Hövszgöl-tó;2620;Mongólia
Kyoga-tó;2590;Uganda, Kongói Demokratikus Köztársaság
Iliamna-tó;2589;USA
Garry-tó;2538;Kanada
Poopó-tó;2530;Bolívia
