1932; Lake Placid;mûkorcsolya;páros;3;Rotter Emília, Szollás László
1932; Lake Placid;mûkorcsolya;páros;4;Orgonista Olga, Szalay Sándor
1936; Garmisch-Partenkirchen;mûkorcsolya;páros;3;Rotter Emília, Szollás László
1936; Garmisch-Partenkirchen;mûkorcsolya;páros;4;Szekrényesy Piroska, Szekrényesy Attila
1948; St. Moritz;mûkorcsolya;páros;2;Kékessy Andrea, Király Ede
1948; St. Moritz;gyorskorcsolya;férfi 10 000 m;4;Pajor Kornél
1948; St. Moritz;mûkorcsolya;férfi;5;Király Ede
1952; Oslo;mûkorcsolya;páros;3;Nagy Marianna, Nagy László
1956; Cortina d’Ampezzo;mûkorcsolya;páros;3;Nagy Marianna, Nagy László
1968; Grenoble;mûkorcsolya;nõi;6;Almássy Zsuzsa
1972; Szapporo;mûkorcsolya;nõi;5;Almássy Zsuzsa
1976; Innsbruck;mûkorcsolya;jégtánc;5;Regõczy Krisztina, Sallay András
1980; Lake Placid;mûkorcsolya;jégtánc;2;Regõczy Krisztina, Sallay András
2006; Torino;rövidpályás gyorskorcsolya;nõi 1500 m;4;Huszár Erika
2006; Torino;rövidpályás gyorskorcsolya;férfi 1500 m;5;Knoch Viktor
2010; Vancouver;rövidpályás gyorskorcsolya;nõi 3000 m váltó;5;Huszár Erika, Darázs Rózsa, Keszler Andrea, Heidum Bernadett
2010; Vancouver;rövidpályás gyorskorcsolya;nõi 1500 m;6;Huszár Erika
2014; Szocsi;rövidpályás gyorskorcsolya;nõi 3000 m váltó;6;Darázs Rózsa, Heidum Bernadett, Keszler Andrea, Lajtos Szandra, Kónya Zsófia
2018; Phjongcshang;rövidpályás gyorskorcsolya;férfi 5000 m váltó;1;Burján Csaba, Knoch Viktor, Liu Shaoang, Liu Shaolin Sándor
2018; Phjongcshang;rövidpályás gyorskorcsolya;nõi 3000 m váltó;4;Jászapáti Petra, Keszler Andrea, Bácskai Sára, Heidum Bernadett, Kónya Zsófia
2018; Phjongcshang;rövidpályás gyorskorcsolya;férfi 500 m;5;Liu Shaolin Sándor
2018; Phjongcshang;rövidpályás gyorskorcsolya;férfi 1500 m;5;Liu Shaolin Sándor
2018; Phjongcshang;rövidpályás gyorskorcsolya;nõi 1500 m;6;Jászapáti Petra
