Speedster 2.2 16V Ecotec;2001;2;2198;5,9;870;
Astra G Cabrio 2.0i 16V Turbo;2001;4;1998;8;1385;
Astra G 2.2i 16V;2001;5;2198;8,8;1175;
Astra G 1.8i 16V;2001;5;1796;9,5;1135;
Astra G 2.2i 16V Automatic;2001;5;2198;10;1195;
Omega B (facelift 1999) 2.5 V6 TDI;2001;5;2497;10,5;1610;
Astra G 1.8i 16V Automatic;2001;5;1796;11;1155;
Omega B 2.5 V6 TDI Automatic;2001;5;2497;11;1610;
Omega B Caravan (facelift 1999) 2.5 V6 TDI;2001;5;2497;11;1660;
Omega B Caravan (facelift 1999) 2.5 V6 TDI Automatic;2001;5;2497;11,5;1660;
Astra G 1.6i;2001;5;1598;13;1063;
Astra G Caravan 1.6i;2001;5;1598;13,2;1235;
Astra G Caravan 1.6i Automatic;2001;5;1598;13,2;1235;
Combo Tour C 1.6i;2001;5;1598;14;1210;
Astra G 1.6i Automatic;2001;5;1598;14,5;1083;
Vivaro A Tour 2.0 16V;2001;9;1998;14,6;1920;
Combo Tour C 1.7 DTI 16V ECOTEC;2001;5;1686;15,5;1260;
Zafira A (T3000) 1.6 CNG EcoFLEX;2001;7;1598;15,5;1485;
Vivaro A Tour 1.9 DI;2001;9;1870;16,5;1927;
Vivaro A Tour 1.9 DTI;2001;9;1870;16,5;1927;
Vivaro A Tour 1.9 DI;2001;9;1870;16,5;1927;
Combo Tour C 1.7 DI 16V ECOTEC;2001;5;1686;18,5;1260;
Zafira A (T3000) OPC 2.0 16V;2001;7;1998;8,2;1540;
Astra G Caravan 1.2 16V;2002;5;1199;NaN;1050;
Astra G CC 2.0 16V Turbo OPC;2002;5;1998;7,5;1250;
Astra G Caravan 2.0 16V T OPC;2002;5;1998;7,8;1340;
Astra G Cabrio 2.0i 16V Turbo;2002;4;1998;8;1385;
Vectra C Caravan 3.2i V6 24V Automatic;2002;5;3175;8,4;1625;
Astra G CC 2.2 16 V;2002;5;2198;8,8;1175;
Astra G CC 1.8 16V;2002;5;1796;9,5;1135;
Omega B Caravan (facelift 1999) 3.2 V6 Automatic;2002;5;3175;9,5;1733;
Astra G 2.2 DTI;2002;5;2171;9,9;1255;
Astra G CC 2.2 DTI;2002;5;2171;9,9;1255;
Astra G Coupe 2.2 DTI;2002;2;2171;9,9;1385;
