AZON	NEV	METTOL	MEDDIG
1	György	1723	1767
2	Anna	1725	1788
3	János	1744	1777
4	Katalin	1748	1793
5	Borbála	1745	1799
6	György	1740	1783
7	Péter	1746	1809
8	Zsuzsanna	1750	1801
9	Anna	1748	1801
10	Tamás	1748	1803
11	Mária	1749	1811
12	Mátyás	1740	1800
13	Mihály	1751	1801
14	Éva	1765	1819
15	Árpád	1753	1801
16	Ilona	1755	1809
17	Júlia	1754	1806
18	Antónia	1760	1810
19	Sándor	1750	1820
20	György	1750	1808
21	Attila	1755	1790
22	János	1769	1809
23	Dániel	1771	1819
24	Anna	1770	1841
25	István	1765	1821
26	András	1766	1809
27	Gábor	1768	1819
28	Péter	1771	1822
29	Zsófia	1771	1831
30	Dorottya	1780	1841
31	Eszter	1780	1806
32	Petra	1786	1810
33	Gábor	1785	1833
34	Katalin	1800	1852
35	Péter	1783	1836
36	Judit	1786	1848
37	Edit	1783	1849
38	Rita	1786	1849
39	Tünde	1753	1776
40	Károly	1773	1832
