Település;Rang;Térség;Terület;Lakosság
Ajak;nagyközség;Kisvárdai;2476;3584
Anarcs;község;Kisvárdai;1706;1934
Apagy;község;Baktalórántházai;3204;2191
Aranyosapáti;község;Vásárosnaményi;2111;1988
Baktalórántháza;város;Baktalórántházai;3525;4350
Balkány;város;Nagykállói;8999;6298
Balsa;község;Ibrány-Nagyhalászi;2251;841
Barabás;község;Vásárosnaményi;3819;745
Bátorliget;község;Nyírbátori;3330;668
Benk;község;Záhonyi;850;448
Beregdaróc;község;Vásárosnaményi;2382;731
Beregsurány;község;Vásárosnaményi;1600;650
Berkesz;község;Baktalórántházai;1318;876
Besenyőd;község;Baktalórántházai;945;651
Beszterec;község;Ibrány-Nagyhalászi;1159;1026
Biri;község;Nagykállói;2259;1298
Botpalád;község;Fehérgyarmati;1650;582
Bököny;község;Nagykállói;3547;3225
Buj;község;Ibrány-Nagyhalászi;3276;2237
Cégénydányád;község;Fehérgyarmati;1219;693
Csaholc;község;Fehérgyarmati;1935;512
Csaroda;község;Vásárosnaményi;2468;579
Császló;község;Fehérgyarmati;1018;374
Csegöld;község;Fehérgyarmati;1935;609
Csenger;város;Csengeri;3616;4753
Csengersima;község;Csengeri;2380;672
Csengerújfalu;község;Csengeri;2561;779
Darnó;község;Fehérgyarmati;464;160
Demecser;város;Ibrány-Nagyhalászi;3698;4304
Dombrád;város;Kisvárdai;5184;3912
Döge;község;Kisvárdai;1654;2106
Encsencs;község;Nyírbátori;3191;1953
Eperjeske;község;Záhonyi;1351;1141
Érpatak;község;Nagykállói;3133;1728
Fábiánháza;község;Mátészalkai;2735;1648
Fehérgyarmat;város;Fehérgyarmati;5246;7873
Fényeslitke;község;Kisvárdai;2515;2366
Fülesd;község;Fehérgyarmati;1505;451
Fülpösdaróc;község;Mátészalkai;425;324
Gacsály;község;Fehérgyarmati;1982;885
Garbolc;község;Fehérgyarmati;726;150
Gávavencsellő;nagyközség;Ibrány-Nagyhalászi;6683;3450
Géberjén;község;Mátészalkai;538;522
Gégény;község;Ibrány-Nagyhalászi;2344;1920
Gelénes;község;Vásárosnaményi;2055;503
Gemzse;község;Vásárosnaményi;1360;853
Geszteréd;község;Nagykállói;3351;1631
Gulács;község;Vásárosnaményi;2335;782
Győröcske;község;Záhonyi;208;120
Győrtelek;község;Mátészalkai;1478;1591
Gyulaháza;község;Kisvárdai;2209;1900
Gyügye;község;Fehérgyarmati;433;233
Gyüre;község;Vásárosnaményi;1587;1207
Hermánszeg;község;Fehérgyarmati;520;247
Hetefejércse;község;Vásárosnaményi;1545;299
Hodász;nagyközség;Mátészalkai;2649;3303
Ibrány;város;Ibrány-Nagyhalászi;6039;6886
Ilk;község;Vásárosnaményi;1456;1215
Jánd;község;Vásárosnaményi;1654;769
Jánkmajtis;község;Fehérgyarmati;2503;1670
Jármi;község;Mátészalkai;1237;1257
Jéke;község;Kisvárdai;632;709
Kállósemjén;nagyközség;Nagykállói;5452;3630
Kálmánháza;község;Nyíregyházai;3724;1988
Kántorjánosi;község;Mátészalkai;4162;2155
Kék;község;Ibrány-Nagyhalászi;2204;1916
Kékcse;község;Kisvárdai;1823;1521
Kemecse;város;Ibrány-Nagyhalászi;3894;4720
Kérsemjén;község;Fehérgyarmati;708;289
Kisar;község;Fehérgyarmati;1543;1062
Kishódos;község;Fehérgyarmati;892;94
Kisléta;község;Nyírbátori;2200;1841
Kisnamény;község;Fehérgyarmati;1801;295
Kispalád;község;Fehérgyarmati;1674;539
Kisvárda;város;Kisvárdai;3591;16669
Kisvarsány;község;Vásárosnaményi;1283;980
Kisszekeres;község;Fehérgyarmati;1468;544
Kocsord;község;Mátészalkai;2547;2782
Komlódtótfalu;község;Csengeri;697;122
Komoró;község;Záhonyi;1169;1269
Kótaj;község;Nyíregyházai;2593;4536
Kölcse;nagyközség;Fehérgyarmati;2824;1261
Kömörő;község;Fehérgyarmati;1637;512
Laskod;község;Baktalórántházai;1359;969
Levelek;nagyközség;Baktalórántházai;2573;2892
Lónya;község;Vásárosnaményi;3548;661
Lövőpetri;község;Kisvárdai;926;443
Magosliget;község;Fehérgyarmati;518;251
Magy;község;Baktalórántházai;2070;971
Mánd;község;Fehérgyarmati;517;270
Mándok;város;Záhonyi;2891;4226
Máriapócs;város;Nyírbátori;2209;2069
Márokpapi;község;Vásárosnaményi;2118;451
Mátészalka;város;Mátészalkai;4140;17086
Mátyus;község;Vásárosnaményi;1103;296
Méhtelek;község;Fehérgyarmati;862;666
Mérk;nagyközség;Mátészalkai;2508;2094
Mezőladány;község;Kisvárdai;1404;990
Milota;község;Fehérgyarmati;1539;816
Nábrád;község;Fehérgyarmati;1768;872
Nagyar;község;Fehérgyarmati;1599;692
Nagycserkesz;község;Nyíregyházai;4148;1754
Nagydobos;község;Mátészalkai;2693;2134
Nagyecsed;város;Mátészalkai;4385;6120
Nagyhalász;város;Ibrány-Nagyhalászi;4431;5586
Nagyhódos;község;Fehérgyarmati;765;111
Nagykálló;város;Nagykállói;6852;9996
Nagyszekeres;község;Fehérgyarmati;1051;523
Nagyvarsány;község;Vásárosnaményi;1255;1448
Napkor;község;Nyíregyházai;3735;3785
Nemesborzova;község;Fehérgyarmati;220;81
Nyírbátor;város;Nyírbátori;6673;12150
Nyírbéltek;nagyközség;Nyírbátori;6217;2742
Nyírbogát;nagyközség;Nyírbátori;5536;3174
Nyírbogdány;község;Ibrány-Nagyhalászi;3503;2929
Nyírcsaholy;község;Mátészalkai;3434;2119
Nyírcsászári;község;Nyírbátori;1323;1180
Nyírderzs;község;Nyírbátori;1701;591
Nyíregyháza;megyei jogú város;Nyíregyházai;27454;117852
Nyírgelse;község;Nyírbátori;2761;1030
Nyírgyulaj;község;Nyírbátori;3576;1981
Nyíribrony;község;Baktalórántházai;2009;1107
Nyírjákó;község;Baktalórántházai;1034;905
Nyírkarász;község;Baktalórántházai;4143;2297
Nyírkáta;község;Mátészalkai;3863;1764
Nyírkércs;község;Baktalórántházai;1428;807
Nyírlövő;község;Kisvárdai;791;690
Nyírlugos;város;Nyírbátori;5838;2722
Nyírmada;város;Baktalórántházai;3880;4787
Nyírmeggyes;község;Mátészalkai;2879;2563
Nyírmihálydi;község;Nyírbátori;2548;1995
Nyírparasznya;község;Mátészalkai;1476;959
Nyírpazony;község;Nyíregyházai;1505;3497
Nyírpilis;község;Nyírbátori;1634;817
Nyírtass;község;Baktalórántházai;3795;1950
Nyírtelek;város;Nyíregyházai;6792;6899
Nyírtét;község;Baktalórántházai;1717;1044
Nyírtura;község;Nyíregyházai;2148;1850
Nyírvasvári;község;Nyírbátori;2843;1895
Ófehértó;község;Baktalórántházai;4317;2582
Olcsva;község;Vásárosnaményi;996;593
Olcsvaapáti;község;Fehérgyarmati;1100;295
Ópályi;község;Mátészalkai;2672;2836
Ököritófülpös;nagyközség;Mátészalkai;3342;1774
Ömböly;község;Nyírbátori;3035;415
Őr;község;Mátészalkai;1778;1445
Panyola;község;Fehérgyarmati;1222;580
Pap;község;Kisvárdai;1715;1822
Papos;község;Mátészalkai;1067;816
Paszab;község;Ibrány-Nagyhalászi;1296;1287
Pátroha;község;Kisvárdai;3923;2881
Pátyod;község;Csengeri;910;642
Penészlek;község;Nyírbátori;3692;898
Penyige;község;Fehérgyarmati;1889;748
Petneháza;község;Baktalórántházai;2420;1802
Piricse;község;Nyírbátori;3699;1856
Pócspetri;község;Nyírbátori;2637;1699
Porcsalma;nagyközség;Csengeri;3110;2568
Pusztadobos;község;Baktalórántházai;1669;1329
Rakamaz;város;Tiszavasvári;4264;4688
Ramocsaháza;község;Baktalórántházai;1811;1462
Rápolt;község;Mátészalkai;321;131
Rétközberencs;község;Kisvárdai;1580;1157
Rohod;község;Baktalórántházai;1956;1190
Rozsály;község;Fehérgyarmati;1487;745
Sényő;község;Nyíregyházai;1830;1418
Sonkád;község;Fehérgyarmati;1981;678
Szabolcs;község;Tiszavasvári;588;396
Szabolcsbáka;község;Kisvárdai;1984;1155
Szabolcsveresmart;község;Kisvárdai;2295;1675
Szakoly;község;Nagykállói;4144;2750
Szamosangyalos;község;Csengeri;804;494
Szamosbecs;község;Csengeri;671;355
Szamoskér;község;Mátészalkai;971;409
Szamossályi;község;Fehérgyarmati;1157;660
Szamostatárfalva;község;Csengeri;450;318
Szamosújlak;község;Fehérgyarmati;527;399
Szamosszeg;község;Mátészalkai;3530;1807
Szatmárcseke;község;Fehérgyarmati;3631;1377
Székely;község;Ibrány-Nagyhalászi;1608;1065
Szorgalmatos;község;Tiszavasvári;1038;1125
Tákos;község;Vásárosnaményi;1082;362
Tarpa;nagyközség;Vásárosnaményi;4973;2096
Terem;község;Nyírbátori;4951;631
Tiborszállás;község;Mátészalkai;2552;944
Timár;község;Tiszavasvári;2182;1336
Tiszaadony;község;Vásárosnaményi;1563;599
Tiszabecs;nagyközség;Fehérgyarmati;1714;1031
Tiszabercel;község;Ibrány-Nagyhalászi;3138;1903
Tiszabezdéd;község;Záhonyi;1861;1905
Tiszacsécse;község;Fehérgyarmati;482;226
Tiszadada;község;Tiszavasvári;4875;2240
Tiszadob;nagyközség;Tiszavasvári;8261;2965
Tiszaeszlár;község;Tiszavasvári;5456;2612
Tiszakanyár;község;Kisvárdai;1551;1625
