megye	város	iskolatípus	dokumentumkészítés	táblázatkezelés	adatbázis-kezelés	programozás
Bács-Kiskun	Jánoshalma	gimnázium	19	6	11	0
Bács-Kiskun	Kiskunhalas	gimnázium	26	7	11	8
Bács-Kiskun	Kiskõrös	gimnázium	23	10	17	4
Bács-Kiskun	Kalocsa	gimnázium	24	9	20	4
Bács-Kiskun	Kiskõrös	gimnázium	22	2	18	13
Bács-Kiskun	Kiskunfélegyháza	gimnázium	25	11	20	1
Bács-Kiskun	Kecskemét	gimnázium	24	4	25	36
Bács-Kiskun	Kiskõrös	gimnázium	13	6	9	0
Bács-Kiskun	Kalocsa	gimnázium	28	12	16	9
Bács-Kiskun	Kalocsa	gimnázium	26	10	5	22
Bács-Kiskun	Kalocsa	gimnázium	22	12	19	19
Bács-Kiskun	Kalocsa	gimnázium	21	10	23	1
Bács-Kiskun	Kalocsa	gimnázium	27	11	26	16
Bács-Kiskun	Kiskunhalas	gimnázium	30	15	30	42
Bács-Kiskun	Baja	gimnázium	27	12	20	32
Bács-Kiskun	Kiskunmajsa	gimnázium	15	2	15	2
Bács-Kiskun	Kiskunfélegyháza	gimnázium	22	13	11	25
Bács-Kiskun	Kecskemét	gimnázium	21	12	15	21
Bács-Kiskun	Kecskemét	gimnázium	28	11	25	35
Bács-Kiskun	Kecskemét	gimnázium	23	3	17	4
Bács-Kiskun	Kecskemét	gimnázium	23	7	7	0
Bács-Kiskun	Kecskemét	gimnázium	27	15	20	0
Bács-Kiskun	Kecskemét	gimnázium	26	14	28	43
Bács-Kiskun	Baja	szakközép	18	5	5	0
Bács-Kiskun	Baja	szakközép	27	4	10	0
Bács-Kiskun	Kiskunhalas	szakközép	29	5	16	4
Bács-Kiskun	Baja	szakközép	28	3	9	2
Bács-Kiskun	Baja	szakközép	22	12	13	1
Bács-Kiskun	Kiskunhalas	szakközép	28	14	22	1
Bács-Kiskun	Kecskemét	szakközép	24	2	8	16
Bács-Kiskun	Kiskunfélegyháza	szakközép	16	9	17	9
Bács-Kiskun	Baja	szakközép	10	2	4	0
Bács-Kiskun	Kiskunmajsa	szakközép	23	9	6	0
Bács-Kiskun	Kiskunmajsa	szakközép	26	2	6	0
Bács-Kiskun	Kiskunmajsa	szakközép	26	10	20	5
Bács-Kiskun	Kiskunmajsa	szakközép	27	3	18	10
Bács-Kiskun	Kiskunmajsa	szakközép	20	1	17	2
Bács-Kiskun	Kiskunmajsa	szakközép	28	5	10	6
Bács-Kiskun	Kecskemét	szakközép	29	5	17	15
Bács-Kiskun	Kecskemét	szakközép	26	12	14	19
Bács-Kiskun	Kecskemét	szakközép	20	10	15	10
