fkod	megyekod	mezogazdasag	ipar	szolgaltatas
101	1	3174	142912	608871
102	2	27073	59101	113044
103	3	7535	48733	87689
104	4	12570	41535	75758
105	5	7231	74157	138928
106	6	18795	43974	93966
107	7	8806	74183	94035
108	8	8300	70517	105677
109	9	14656	58620	117214
110	10	5575	42101	67350
111	11	10130	46417	84702
112	12	3544	60125	67493
113	13	2605	30785	42677
114	14	14579	142899	314191
115	15	7128	31683	73255
116	16	8686	52961	111929
117	17	8137	32959	48948
118	18	5971	43708	59418
119	19	6292	61038	80341
120	20	6034	47786	67885
